"","Invoice","","1-Feb-19","#12566"
"","","","",""
"Product Id","Description","Price","Amount","Total"
"1001","PHP for dummies","20","1","EUR 20.00"
"1012","OpenXML for dummies","22","2","EUR 44.00"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","Total excl.:","EUR 64.00"
"","","","VAT:","EUR 13.44"
"","","","Total incl.:","EUR 77.44"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"This invoice is payable within thirty days after the end of the month, unless specified otherwise on the invoice.","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","","www.phpexcel.net"
"","","","","Terms and conditions"
"","","","",""
